('out_directory: '
 './experiments/compound/multi_DKL2/1469983670/wandb/run-20231123_012110-apusi2t7/files')
The device used is : cuda
[8.04357011e-05 1.55209298e-04 2.54620596e-04 4.14302588e-04
 6.38217224e-04 9.84181489e-04 1.50528217e-03 2.31866121e-03
 3.53105144e-03 5.40530577e-03 8.22762856e-03 1.25651040e-02
 1.91752106e-02 2.92109897e-02 4.44344599e-02 6.75275126e-02
 1.02493418e-01 1.55253617e-01 2.32940838e-01 3.12883848e-01]
DEVICE: cuda
/nethome/wmu30/anaconda3/envs/design-baseliness/lib/python3.7/site-packages/gpytorch/lazy/triangular_lazy_tensor.py:136: UserWarning: torch.triangular_solve is deprecated in favor of torch.linalg.solve_triangularand will be removed in a future PyTorch release.
torch.linalg.solve_triangular has its arguments reversed and does not return a copy of one of the inputs.
X = torch.triangular_solve(B, A).solution
should be replaced with
X = torch.linalg.solve_triangular(A, B). (Triggered internally at ../aten/src/ATen/native/BatchLinearAlgebra.cpp:2115.)
Epoch 21/200, Train Loss: -0.006174208697345522, Val Loss: -0.005672846138477326
Epoch 22/200, Train Loss: -0.0061655782792303295, Val Loss: -0.006157264828681946
Epoch 23/200, Train Loss: -0.006359309335549673, Val Loss: -0.00593123197555542
Epoch 24/200, Train Loss: -0.006260298947493235, Val Loss: -0.005861195802688598
Epoch 25/200, Train Loss: -0.006416786154111226, Val Loss: -0.005963085472583771
Epoch 26/200, Train Loss: -0.006336884193950229, Val Loss: -0.005967829287052155
Epoch 27/200, Train Loss: -0.006403994248972999, Val Loss: -0.005804873317480088
Epoch 28/200, Train Loss: -0.006284107360574934, Val Loss: -0.006119220614433289
Epoch 29/200, Train Loss: -0.0063247086604436235, Val Loss: -0.005787094384431839
Epoch 30/200, Train Loss: -0.006254934075805876, Val Loss: -0.006029840797185898
Epoch 31/200, Train Loss: -0.006545584887266159, Val Loss: -0.00592249995470047
Epoch 32/200, Train Loss: -0.006354074087407854, Val Loss: -0.005824243724346161
Epoch 33/200, Train Loss: -0.0065021255546145965, Val Loss: -0.006058982849121094
Epoch 34/200, Train Loss: -0.006565031634436713, Val Loss: -0.005926275134086609
Epoch 35/200, Train Loss: -0.00647786052359475, Val Loss: -0.005640580296516418
Epoch 36/200, Train Loss: -0.006590374198224809, Val Loss: -0.005898060739040375
Epoch 37/200, Train Loss: -0.006457342320018345, Val Loss: -0.005480821192264557
Epoch 38/200, Train Loss: -0.00652145700984531, Val Loss: -0.0057818681597709655
Epoch 39/200, Train Loss: -0.006417411062452528, Val Loss: -0.005660520493984222
Epoch 40/200, Train Loss: -0.006435654878616333, Val Loss: -0.005770406723022461
Epoch 41/200, Train Loss: -0.006543915232022603, Val Loss: -0.005691307783126831
Epoch 42/200, Train Loss: -0.006495211415820651, Val Loss: -0.006224995911121368
Epoch 43/200, Train Loss: -0.006382799135314094, Val Loss: -0.0061018519997596745
Epoch 44/200, Train Loss: -0.006486033969455295, Val Loss: -0.00589061427116394
Epoch 45/200, Train Loss: -0.00642682260606024, Val Loss: -0.005959345757961273
Epoch 46/200, Train Loss: -0.006438907232549455, Val Loss: -0.005425841987133026
Epoch 47/200, Train Loss: -0.006533964448504978, Val Loss: -0.00541893994808197
Epoch 48/200, Train Loss: -0.0064850778314802385, Val Loss: -0.005653415679931641
Epoch 49/200, Train Loss: -0.006504491892125872, Val Loss: -0.005611304521560669
Epoch 50/200, Train Loss: -0.006446766972541809, Val Loss: -0.0058594712018966676
Epoch 51/200, Train Loss: -0.006470942967467838, Val Loss: -0.006044121325016021
Epoch 52/200, Train Loss: -0.0067759831415282355, Val Loss: -0.005972533166408539
Epoch 53/200, Train Loss: -0.006637850787904527, Val Loss: -0.005692474067211151
Epoch 54/200, Train Loss: -0.0066398755609989165, Val Loss: -0.0060646568536758426
Epoch 55/200, Train Loss: -0.006567996813191308, Val Loss: -0.005280391812324524
Epoch 56/200, Train Loss: -0.006654135194089678, Val Loss: -0.0060584346055984496
Epoch 57/200, Train Loss: -0.006574316408899095, Val Loss: -0.005349747836589813
Epoch 58/200, Train Loss: -0.0067321556674109564, Val Loss: -0.005593443155288696
Epoch 59/200, Train Loss: -0.006632170895735423, Val Loss: -0.005489291489124298
Epoch 60/200, Train Loss: -0.006545585284630458, Val Loss: -0.005515461057424545
Epoch 61/200, Train Loss: -0.006625825279288821, Val Loss: -0.005602148532867432
Epoch 62/200, Train Loss: -0.006628771788544125, Val Loss: -0.006099548995494843
Epoch 63/200, Train Loss: -0.006508291608757443, Val Loss: -0.005374715447425842
Epoch 64/200, Train Loss: -0.006643747329711914, Val Loss: -0.005926105201244355
Epoch 65/200, Train Loss: -0.0067973039084010655, Val Loss: -0.005779572546482086
Epoch 66/200, Train Loss: -0.006726463152302636, Val Loss: -0.005581960320472717
Epoch 67/200, Train Loss: -0.006628085652987162, Val Loss: -0.005827809870243073
Epoch 68/200, Train Loss: -0.006692730287710826, Val Loss: -0.005597450971603394
Epoch 69/200, Train Loss: -0.006620073080062866, Val Loss: -0.005975266754627228
Epoch 70/200, Train Loss: -0.0067491681973139445, Val Loss: -0.0053224824666976926
Epoch 71/200, Train Loss: -0.006678514228926765, Val Loss: -0.0057627720236778255
Epoch 72/200, Train Loss: -0.006801187925868564, Val Loss: -0.005942840427160263
Epoch 73/200, Train Loss: -0.006721808711687724, Val Loss: -0.005511362910270691
Epoch 74/200, Train Loss: -0.0067511165340741475, Val Loss: -0.005214952081441879
Epoch 75/200, Train Loss: -0.0067446334295802645, Val Loss: -0.005692583024501801
Epoch 76/200, Train Loss: -0.006729581481880612, Val Loss: -0.005537481963634491
Epoch 77/200, Train Loss: -0.006732366343339284, Val Loss: -0.005613177627325058
Epoch 78/200, Train Loss: -0.006792910085784064, Val Loss: -0.005351507544517517
Epoch 79/200, Train Loss: -0.0067366096509827505, Val Loss: -0.005744543254375458
Epoch 80/200, Train Loss: -0.006889499949084388, Val Loss: -0.0052316182851791385
Epoch 81/200, Train Loss: -0.006815617395771874, Val Loss: -0.005544785797595978
Epoch 82/200, Train Loss: -0.0069680737058321635, Val Loss: -0.005453004240989685
Epoch 83/200, Train Loss: -0.006924544672171275, Val Loss: -0.005236582309007645
Epoch 84/200, Train Loss: -0.006621830575995975, Val Loss: -0.005850273609161377
Epoch 85/200, Train Loss: -0.006712825795014699, Val Loss: -0.005291537880897522
Epoch 86/200, Train Loss: -0.006867913431591458, Val Loss: -0.005592975735664368
Epoch 87/200, Train Loss: -0.006748158289326562, Val Loss: -0.005308439761400223
Epoch 88/200, Train Loss: -0.006703371975156996, Val Loss: -0.005854705333709717
Epoch 89/200, Train Loss: -0.006958066814475589, Val Loss: -0.005138843685388565
Epoch 90/200, Train Loss: -0.006915905753771464, Val Loss: -0.0055183185338974
Epoch 91/200, Train Loss: -0.006965395622783237, Val Loss: -0.00495578521490097
Epoch 92/200, Train Loss: -0.006941557632552253, Val Loss: -0.005328371465206146
Epoch 93/200, Train Loss: -0.007097798685232798, Val Loss: -0.005291394889354706
Epoch 94/200, Train Loss: -0.006961164534091949, Val Loss: -0.005546729356050491
Epoch 95/200, Train Loss: -0.007082638025283814, Val Loss: -0.005431895077228546
Epoch 96/200, Train Loss: -0.006848871640033192, Val Loss: -0.005099412441253662
Epoch 97/200, Train Loss: -0.007008654428852929, Val Loss: -0.005491519808769226
Epoch 98/200, Train Loss: -0.00689085488849216, Val Loss: -0.005164370357990265
Epoch 99/200, Train Loss: -0.00698732152250078, Val Loss: -0.005324258744716644
Epoch 100/200, Train Loss: -0.0068584802614318, Val Loss: -0.005362481713294983
Epoch 101/200, Train Loss: -0.0073005482289526195, Val Loss: -0.004991269081830978
Epoch 102/200, Train Loss: -0.006968204485045539, Val Loss: -0.005520218163728714
Epoch 103/200, Train Loss: -0.006951327350404528, Val Loss: -0.0053033303022384645
Epoch 104/200, Train Loss: -0.006919008702039719, Val Loss: -0.005094152420759201
Epoch 105/200, Train Loss: -0.006997426350911458, Val Loss: -0.005433008641004562
Epoch 106/200, Train Loss: -0.007002710971567366, Val Loss: -0.005396005988121033
Epoch 107/200, Train Loss: -0.007039686401685079, Val Loss: -0.005277585417032242
Epoch 108/200, Train Loss: -0.007033762613932292, Val Loss: -0.0047614102959632875
Epoch 109/200, Train Loss: -0.007098633090655009, Val Loss: -0.005039143711328507
Epoch 110/200, Train Loss: -0.0070381412439876135, Val Loss: -0.0047517940700054166
Epoch 111/200, Train Loss: -0.007032786197132534, Val Loss: -0.005219896703958511
Epoch 112/200, Train Loss: -0.007131103157997132, Val Loss: -0.0048828192353248595
Epoch 113/200, Train Loss: -0.007181807968351576, Val Loss: -0.004916683614253998
Epoch 114/200, Train Loss: -0.006994212494956123, Val Loss: -0.0046761597394943235
Epoch 115/200, Train Loss: -0.007109016603893704, Val Loss: -0.005229955822229385
Epoch 116/200, Train Loss: -0.007004197690221999, Val Loss: -0.005334579527378082
Epoch 117/200, Train Loss: -0.006857348190413581, Val Loss: -0.0043915041983127595
Epoch 118/200, Train Loss: -0.007105962998337216, Val Loss: -0.004406170070171357
Epoch 119/200, Train Loss: -0.007021587941381666, Val Loss: -0.005024372935295105
Epoch 120/200, Train Loss: -0.007122139129373762, Val Loss: -0.004544879615306854
Epoch 121/200, Train Loss: -0.00721610015630722, Val Loss: -0.005141505092382431
Epoch 122/200, Train Loss: -0.006991392254829407, Val Loss: -0.004941190510988235
Epoch 123/200, Train Loss: -0.007061975280443828, Val Loss: -0.005193142533302307
Epoch 124/200, Train Loss: -0.007166148728794522, Val Loss: -0.004852660715579987
Epoch 125/200, Train Loss: -0.007108060936133067, Val Loss: -0.004782715439796447
Epoch 126/200, Train Loss: -0.007142535878552331, Val Loss: -0.00473524808883667
Epoch 127/200, Train Loss: -0.007025848170121511, Val Loss: -0.005324945271015167
Epoch 128/200, Train Loss: -0.007123060286045074, Val Loss: -0.004590715527534485
Epoch 129/200, Train Loss: -0.007296267330646515, Val Loss: -0.004935558944940567
Epoch 130/200, Train Loss: -0.007221948087215424, Val Loss: -0.0047420068383216855
Epoch 131/200, Train Loss: -0.007143601536750793, Val Loss: -0.004964842319488526
Epoch 132/200, Train Loss: -0.007246690902445051, Val Loss: -0.005033356726169586
Epoch 133/200, Train Loss: -0.007258757491906484, Val Loss: -0.004713395446538925
Epoch 134/200, Train Loss: -0.007147426691320208, Val Loss: -0.00526266548037529
Epoch 135/200, Train Loss: -0.007130795720550749, Val Loss: -0.004517578542232514
Epoch 136/200, Train Loss: -0.007028296752108468, Val Loss: -0.004867616206407547
Epoch 137/200, Train Loss: -0.007123560236559974, Val Loss: -0.0043996479511260985
Epoch 138/200, Train Loss: -0.007093006127410465, Val Loss: -0.004303471833467484
Epoch 139/200, Train Loss: -0.007048223104741839, Val Loss: -0.0050381461381912235
Epoch 140/200, Train Loss: -0.007259166114860111, Val Loss: -0.004738981068134308
Epoch 141/200, Train Loss: -0.007093379471037123, Val Loss: -0.004885255813598633
Epoch 142/200, Train Loss: -0.007178207092814975, Val Loss: -0.004598008364439011
Epoch 143/200, Train Loss: -0.007263113180796306, Val Loss: -0.004999957501888275
Epoch 144/200, Train Loss: -0.00711816750632392, Val Loss: -0.004924911439418793
Epoch 145/200, Train Loss: -0.007163667440414428, Val Loss: -0.004668484754860401
Epoch 146/200, Train Loss: -0.007348093483183119, Val Loss: -0.0049228458106517796
Epoch 147/200, Train Loss: -0.007177766362826029, Val Loss: -0.004933250606060028
Epoch 148/200, Train Loss: -0.007214453104469511, Val Loss: -0.0048246441185474396
Epoch 149/200, Train Loss: -0.007095852434635163, Val Loss: -0.004810623645782471
Epoch 150/200, Train Loss: -0.00737249665790134, Val Loss: -0.004517477363348007
Epoch 151/200, Train Loss: -0.007256886144479116, Val Loss: -0.004540328934788704
Epoch 152/200, Train Loss: -0.007086900346808964, Val Loss: -0.005113325715065002
Epoch 153/200, Train Loss: -0.007193827960226271, Val Loss: -0.005015199303627014
Epoch 154/200, Train Loss: -0.007222072263558706, Val Loss: -0.004482458293437958
Epoch 155/200, Train Loss: -0.007250329805745019, Val Loss: -0.004850506186485291
Epoch 156/200, Train Loss: -0.0073425845371352305, Val Loss: -0.004171600610017777
Epoch 157/200, Train Loss: -0.007378341654936472, Val Loss: -0.004991411238908768
Epoch 158/200, Train Loss: -0.007246591786543528, Val Loss: -0.004452065795660019
Epoch 159/200, Train Loss: -0.007180941475762261, Val Loss: -0.004544159859418869
Epoch 160/200, Train Loss: -0.00727039415968789, Val Loss: -0.004322081670165062
Epoch 161/200, Train Loss: -0.0072720459302266435, Val Loss: -0.004907587260007859
Epoch 162/200, Train Loss: -0.0071590913931528725, Val Loss: -0.004682070821523667
Epoch 163/200, Train Loss: -0.0071883249282836915, Val Loss: -0.004907714813947678
Epoch 164/200, Train Loss: -0.007343188838826286, Val Loss: -0.0049430069923400875
Epoch 165/200, Train Loss: -0.007290137635336982, Val Loss: -0.004695148199796676
Epoch 166/200, Train Loss: -0.007345312966240777, Val Loss: -0.004246538877487183
Epoch 167/200, Train Loss: -0.007404095027181837, Val Loss: -0.0046148615181446076
Epoch 168/200, Train Loss: -0.007334126459227668, Val Loss: -0.004791325390338897
Epoch 169/200, Train Loss: -0.007314979321426816, Val Loss: -0.00527946126461029
Epoch 170/200, Train Loss: -0.007377752496136559, Val Loss: -0.00439512249827385
Epoch 171/200, Train Loss: -0.007387647317515479, Val Loss: -0.004360499769449234
Epoch 172/200, Train Loss: -0.0073185040752093, Val Loss: -0.004844990640878678
Epoch 173/200, Train Loss: -0.007263141353925069, Val Loss: -0.004624588817358017
Epoch 174/200, Train Loss: -0.007294513874583774, Val Loss: -0.004405571460723877
Epoch 175/200, Train Loss: -0.007249057465129429, Val Loss: -0.004917534500360489
Epoch 176/200, Train Loss: -0.007288169701894124, Val Loss: -0.004294498175382614
Epoch 177/200, Train Loss: -0.007365862223837111, Val Loss: -0.004973750710487366
Epoch 178/200, Train Loss: -0.00727667181359397, Val Loss: -0.00442948430776596
Epoch 179/200, Train Loss: -0.007572205185890198, Val Loss: -0.004054556906223297
Epoch 180/200, Train Loss: -0.00732607149415546, Val Loss: -0.004312112331390381
Epoch 181/200, Train Loss: -0.007263939023017883, Val Loss: -0.004468913123011589
Epoch 182/200, Train Loss: -0.007391969826486376, Val Loss: -0.004553208351135254
Epoch 183/200, Train Loss: -0.007209738201565213, Val Loss: -0.004785809576511383
Epoch 184/200, Train Loss: -0.007452417578962114, Val Loss: -0.004208093255758286
Epoch 185/200, Train Loss: -0.007244815621111128, Val Loss: -0.004837301522493362
Epoch 186/200, Train Loss: -0.007500240921974182, Val Loss: -0.004330968677997589
Epoch 187/200, Train Loss: -0.007393379747867584, Val Loss: -0.004495199978351593
Epoch 188/200, Train Loss: -0.007339302400747935, Val Loss: -0.004149921625852585
Epoch 189/200, Train Loss: -0.007525379647811254, Val Loss: -0.004056678116321564
Epoch 190/200, Train Loss: -0.007408311386903127, Val Loss: -0.003950119435787201
Epoch 191/200, Train Loss: -0.007367092576291826, Val Loss: -0.003997485548257827
Epoch 192/200, Train Loss: -0.0074049405323134525, Val Loss: -0.004497670382261276
Epoch 193/200, Train Loss: -0.007321462531884511, Val Loss: -0.004604074865579605
Epoch 194/200, Train Loss: -0.007440182983875275, Val Loss: -0.004431566029787064
Epoch 195/200, Train Loss: -0.007482560098171234, Val Loss: -0.004240245342254639
Epoch 196/200, Train Loss: -0.00740469440486696, Val Loss: -0.004775983721017838
Epoch 197/200, Train Loss: -0.007307941019535065, Val Loss: -0.004512658089399338
Epoch 198/200, Train Loss: -0.00744095915555954, Val Loss: -0.00472100892663002
Epoch 199/200, Train Loss: -0.0074951432016160755, Val Loss: -0.004341684341430664
Epoch 200/200, Train Loss: -0.0072651314006911384, Val Loss: -0.0046908602714538575
